review_title,review_text,review_rating
"
Awesome laptop miles ahead of windows counterpart
","
Smooth like butterrrr , camera quality is not good but updated to Ventura and use continuity camera that solves all , music quality is awesome , Retina display is delight to watch and enjoy web content . Thanks Amazon for smooth delivery
",5.0 out of 5 stars
"
Awesome Product
","
i was using macbook air early 2015 before. It was performing ok since i purchased until 2022. But i started facing unexpected shutdown due to poor battery condition. hence i upgraded to M1 Mac in exchange offer. I got around 18k exchange value which was surprising for me.After i started using this i fell in love with this due to following pros1. Excellent battery life (mora than 12 hours continues usage)2. Excellent performance compared to my previous macbook 2015 model (more than 200% bump in performance i felt)3. Excellent display qualityI did not feel any cons during my usage on past 6 months. Only concern is screen is ultra-fingerprint magnet. You need a cleaning cloth always with you which I am carrying with me all the time with IPA liquid for better cleaning performance. But i did not felt about it compared to the performance it was given. Also fingerprint wont be noticeable if the screen is onI thought of buying a screen card for mac (actually I purchased on amazon) to protect form fingerprint. Luckily it was damaged on transit. After that again I did some research and found lot of articles was saying using screen card will void display warranty of mac and screen card will eliminate the small gap given between the screen and keyboard while it closed which will lead to lid will not close properly or addition pressure will be put on screen while it closed which may damage the screen. Hence, I claimed refund instead of replacement product and purchased IP liquid to clean the screen.If you're a frequent traveler along with MacBook, you may notice keyboard marks on screen which may become permanent if it's not cleaned periodically. So, I purchased IP liquid and microfiber cloth to maintain it. It costs me around 200 for both (250ml vetro power IP liquid in amazon and microfiber cloth from DMART). I believe this will last me at least for a year or 2 which is sufficient for me to get another pair of this cleaning product instead of buying 1000+ rupees screen card. This liquid is useful in cleaning my other gadgets as well also during the Screen card installation on my own with cheaper option available online compared to products available in local market with 200+ rupees which is available online for 100+ rupees
",5.0 out of 5 stars
"
About
","
Chiz to jhkas hai lekin bahut khrcha h
",5.0 out of 5 stars
"
Best laptop for everyday use.
","
1)Screen: great.2)Keyboard & Trackpad: good and great.3)battery life: for web and coding=10+ hrs.  for video editing=4-5hrs.4)charging=1.5hrs5)webcam=bad.6)Silent= so cool to operate that it does not heatup and due to this, it does not have any fan inside.7) Maintenance: due to not having a fan, it does not pull any dust from the surrounding= great.8) Build quality= solid.9) Speakers = best front-facing surround sound speakers after M1 MacBook Pro(2021).
",5.0 out of 5 stars
"
It's a MacBook!!
","
It's a MacBook
",5.0 out of 5 stars
"
Apple is getting low day by day
","
Quality is getting low day by day. Pretty worthless can say
",3.0 out of 5 stars
"
Very Good MacBook Air
","
Excellent MacBook Air with an excellent configuration for the office or home. If anybody is looking for a chance to buy a new MacBook then surely I would recommend this one as it works very smoothly.
",5.0 out of 5 stars
"
Awesome 😎
","
Camera quality not good
",5.0 out of 5 stars
"
Bittersweet experience
","
This is my first Macbook. I needed a personal laptop with the following requirements -1. It should have long battery life. I should spend less time being anxious about battery and more time actually focusing on doing some work with it for long hours. This device makes you forget worrying about battery.2. It should wake up quickly/instantly from sleep, like how a tablet feels always ready to use. Imagine a situation when a question pops up in your mind that you've been encountering for long and thought of bookmarking it or letting it's tab sit on your open browser session, in such moments a mere 5-10 sec wake time will make you hesitant to reach your laptop, specially if ideas keep springing in your head multiple times a day. With Macbook, you open the lid and you're productive already!3. It should be fast while multitasking and switching tabs.I was initially skeptical with the 8 GB RAM thing, having experienced how quickly 16 GB fills up in windows with multiple browser windows and tabs open. Still decided to give it a shot, and man this thing doesn't disappoint.But it's not all perfect. There are multiple issues I faced -1. Using an external 2K 24-inch display delivers pathetic experience. The  rendered text is unpleasant to read and the icons sent are not retina versions, they look bad. Having been spoilt by the excellent ClearType on Windows and noticing minute visual details by habit, I have a very bothersome time everytime I wake it up. Dear Apple, please provide subpixel rendering or a ClearType equivalent, it's much needed. Though at present, there are some software workarounds that could help to an extent by rendering retina visuals on non-retina displays, for eg. BetterDummy (supports M1).2. The mouse pointer is annoyingly jittery. My setup goes like this - Lenovo Q24h-10 connected via USB-C to MBA, one USB port of the monitor's USB hub connected to Lenovo 300 FHD webcam, the other USB port (with support for USB BC spec) connected to an ORICO 4-port USB 3 powered hub (the external power is not connected though), and the wireless dongle of Dell KM636 connected to the hub. The setup works like a charm with Windows on a Dell Latitude, even with Samsung Dex, but somehow with the Mac, the mouse cursor is very jumpy and the experience is annoying to the point that it's unusable. Things are better if the dongle is connected directly to the other USB C port of the Mac though, via an adapter. They are also somewhat better after enabling some option related to power on the monitor's OSD, and using MOS software on Mac, but the jumpiness is still present.Rating it 5 stars for what it's designed to do.
",5.0 out of 5 stars
"
Great
",,5.0 out of 5 stars
