ProductName,Price,Rate,Review,Summary
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",5,Super!,Great cooler.. excellent air flow and for this price. It's so amazing and unbelievable.Just love it ??
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",5,Awesome,Best budget 2 fit cooler. Nice cooling
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",3,Fair,The quality is good but the power of air is decent
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",1,Useless product,Very bad product it's a only a fan
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",3,Fair,Ok ok product
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",5,Awesome,The cooler is really fantastic and provides good air flow. Highly recommended
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",5,Highly recommended,Very good product
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",3,Nice,Very nice
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",1,Unsatisfactory,Very bad cooler
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","??3,999",4,Worth the money,Very good
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Great product,Beautiful product good material and perfectly working
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Mind-blowing purchase,Awesome
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Highly recommended,Good
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Brilliant,"Wonderful product, Must buy"
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Classy product,"Nice air cooler, smart cool breeze producer"
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Must buy!,Awsm
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Fabulous!,Nice product ???
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Worth every penny,Great cooler..
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Super!,Nice product
